t, x, y, z
0,0.04,-0.16,0
0.01,0.08,-0.32,0
0.02,0.12,-0.48,0
0.03,0.16,-0.64,0
0.04,0.2,-0.8,0
0.05,0.24,-0.96,0
0.06,0.28,-1.12,0
0.07,0.32,-1.28,0
0.08,0.36,-1.44,0
0.09,0.4,-1.44,0
0.1,0.44,-1.44,0
