t, x, y, z
0,0.2,0,0
0.01,0.4,0,0
0.02,0.6,0,0
0.03,0.8,0,0
0.04,1,0,0
0.05,1.2,0,0
0.06,1.4,0,0
0.07,1.6,0,0
0.08,1.8,0,0
